Game,Team,spread_barttorvik,win_prob_barttorvik,projected_total_barttorvik,spread_drating,win_prob_drating,projected_total_drating,spread_evanmiya,win_prob_evanmiya,projected_total_evanmiya,spread_kenpom,win_prob_kenpom,projected_total_kenpom,spread_massey,win_prob_massey,projected_total_massey,Opening Moneyline,Moneyline Win Probability,Opening Spread,theoddsapi_total,Moneyline Edge,average_total
Bradley vs Illinois-Chicago,Illinois-Chicago,,,,,,,-9.9,0.18600000000000003,145.7,,,,,,,,0.18600000000000003,,,,145.7
Brooklyn vs New York,Brooklyn,,,,,,,,,,,,,5.511,0.34,222.0,,0.34,,,,222.0
Brooklyn vs New York,New York,,,,,,,,,,,,,-5.511,0.66,222.0,,0.66,,,,222.0
Brooklyn vs Phoenix,Brooklyn,,,,,,,,,,,,,5.5,0.35,220.0,,0.35,,,,220.0
Brooklyn vs Phoenix,Phoenix,,,,,,,,,,,,,-5.5,0.65,220.0,,0.65,,,,220.0
Brown vs Dartmouth,Brown,,,,,,,6.1,0.706,141.0,,,,,,,,0.706,,,,141.0
Brown vs Dartmouth,Dartmouth,,,,,,,-6.1,0.294,141.0,,,,,,,,0.294,,,,141.0
Bryant vs Binghamton,Binghamton,,,,,,,-16.1,0.079,149.2,,,,,,,,0.079,,,,149.2
Bryant vs Binghamton,Bryant,,,,,,,16.1,0.9209999999999999,149.2,,,,,,,,0.9209999999999999,,,,149.2
Bucknell vs Colgate,Bucknell,,,,,,,,,,,,,-2.5,0.55,117.0,,0.55,,,,117.0
Bucknell vs Colgate,Colgate,,,,,,,,,,,,,2.5,0.45,117.0,,0.45,,,,117.0
Bucknell vs Loyola Maryland,Bucknell,,,,,,,4.6,0.659,137.6,,,,,,,,0.659,,,,137.6
Bucknell vs Loyola Maryland,Loyola Maryland,,,,,,,-4.6,0.341,137.6,,,,,,,,0.341,,,,137.6
Buffalo vs Akron,Akron,-10.7,0.82,160.0,,,,12.3,0.85,153.4,,,,-8.513,0.77,148.0,,0.82,,,,153.79999999999998
Buffalo vs Akron,Buffalo,10.7,0.18,160.0,,,,-12.3,0.15,153.4,,,,8.513,0.23,148.0,,0.18,,,,153.79999999999998
Buffalo vs Central Michigan,Buffalo,,,,,,,-1.9,0.436,141.6,,,,,,,,0.436,,,,141.6
Buffalo vs Central Michigan,Central Michigan,,,,,,,1.9,0.564,141.6,,,,,,,,0.564,,,,141.6
Buffalo vs Ohio,Buffalo,,,,,,,,,,,,,-13.5,0.86,132.0,,0.86,,,,132.0
Buffalo vs Ohio,Ohio,,,,,,,,,,,,,13.5,0.14,132.0,,0.14,,,,132.0
Butler vs Creighton,Butler,,,,,,,,,,,,,11.5,0.18,132.0,,0.18,,,,132.0
Butler vs Creighton,Creighton,,,,,,,,,,,,,-11.5,0.82,132.0,,0.82,,,,132.0
Butler vs DePaul,Butler,,,,,,,5.2,0.679,148.3,,,,,,,,0.679,,,,148.3
Butler vs DePaul,DePaul,,,,,,,-5.2,0.321,148.3,,,,,,,,0.321,,,,148.3
Butler vs Marquette,Butler,,,,,,,-6.9,0.267,145.7,,,,,,,,0.267,,,,145.7
Butler vs Marquette,Marquette,,,,,,,6.9,0.733,145.7,,,,,,,,0.733,,,,145.7
C Michigan vs Ball St,Ball St,,,,,,,,,,,,,4.0,0.42,141.0,,0.42,,,,141.0
C Michigan vs Ball St,C Michigan,,,,,,,,,,,,,-4.0,0.58,141.0,,0.58,,,,141.0
